cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
62268270,180.210997104645,3.3033,16,4,2,1,0,0,0,0.384615384615385,13,1,0,61.0084,25,0,0,0,0,0,0,4,1,0,0,25,0,0,0,0,82.52,9.98793710675463,1.01616820212904,8.82901953222727,11.0769230769231,6.45333333333333,120,119
66775353,188.145997405052,1.5166,14,6,2,0,0,0,2,0.166666666666667,12,1,0,48.3481,20,0,0,0,0,0,0,5,1,0,0,19,0,0,0,0,107.25,9.14182786496023,1.00741808534763,8.07451235780197,13,6.45333333333333,85,84
67405749,246.229995965958,2.1464,18,8,2,0,0,0,0,0.111111111111111,18,2,0,70.4466,28,0,0,0,0,0,0,6,2,0,0,28,0,0,0,0,137.74,7.01750300767627,0,NaN,16.0555555555556,8.99173553719008,126,126
67455690,179.22299683094,3.5356,17,4,0,0,0,0,0,0.307692307692308,13,1,0,63.2845,26,0,0,0,0,0,0,3,1,0,0,26,0,0,0,0,46.09,9.28862184985782,1.07675942645059,7.62645974735196,11.0769230769231,5.671875,127,119
67492366,173.602996826172,2.6724,12,4,2,0,0,0,0,0.1,10,1,0,50.3803,19,1,0,0,1,0,0,3,1,0,0,18,0,0,0,0,68.87,7.04909352922168,0.143640766603182,48.0744633011831,11,4.79289940828402,80,75
68663809,173.602996826172,2.6724,12,4,2,0,0,0,0,0.1,10,1,0,50.3803,19,1,0,0,1,0,0,3,1,0,0,18,0,0,0,0,68.87,8.05675878019144,0.11362698222024,69.9053309589378,11,4.79289940828402,80,75
69236564,204.101997733116,0.1662,14,7,3,2,2,0,0,0.083333333333333,12,1,0,50.0574,20,0,0,0,0,0,0,3,4,1,0,19,0,0,0,0,160.54,6.80569179093158,0.970938380663045,6.00939619493055,13,7.40816326530612,81,78
69288643,148.124997615814,0.82188,9,5,1,0,0,0,0,0.090909090909091,11,1,0,38.8813,15,0,0,0,0,0,0,4,1,0,0,15,0,0,0,0,92.66,8.49149266140849,1.01190202853976,7.39161541524156,9.09090909090909,4.13265306122449,68,71
69290759,149.152997374535,1.9622,11,4,1,0,0,0,0,0.181818181818182,11,1,0,47.4283,18,0,0,0,0,0,0,3,1,0,0,18,0,0,0,0,68.87,9.08223656594727,1.00792704788732,8.01080746367925,9.09090909090909,4.13265306122449,81,81
70592502,244.235998153687,2.0369,17,9,3,1,0,0,2,0.25,16,1,0,61.0765,24,0,0,0,0,0,0,6,3,0,1,24,0,0,0,2,161.8,8.10245095684053,1.00883521391564,7.03149101565568,14.0625,6.07438016528926,112,115
